LFS_NR,AF_DATUM,ARTIKEL_NR,MANDANT,KUNDE,KUNDEN_NR,STANDORT,STANDORT_NR,HERKUNFT,HERKUNFT_NR,Monat,AF_STATUS,GT_BEZEICHNUNG,LPOS_BEZEICHNUNG,LPOS_MENGE,LPOS_ME,ZIEL_KURZ,LIEFERANT,LIEFERANTEN_NR,BEFOERDERER,LST_ART,ZU_AB,FAHRZEUGKNZ
5356256,08.08.2025 00:00:00,11S1020,01,"AWS Abfallwirtschaft Stuttgart
Landeshauptstadt Stuttgart",100557,"Umladestation Veolia,Stuttgart",172823,"Umladestation Veolia,Stuttgart",172823,Aug.,zugeordnet,BellandVision,DS 600 LVP (wie gesammelt) BellandVision,"0,0000",to,PreZero Ölbronn,,,,Verwertung,Herkunft/Ziel,
5347053,30.07.2025 00:00:00,11S1020,01,"AWS Abfallwirtschaft Stuttgart
Landeshauptstadt Stuttgart",100557,"Umladestation Veolia,Stuttgart",172823,"Umladestation Veolia,Stuttgart",172823,Juli,rückgemeldet,BellandVision,DS 600 LVP (wie gesammelt) BellandVision,"12,9600",to,PreZero Ölbronn,,,,Verwertung,Herkunft/Ziel,
5347057,30.07.2025 00:00:00,11S1020,01,"AWS Abfallwirtschaft Stuttgart
Landeshauptstadt Stuttgart",100557,Umladestation Degenkolbe,182830,Umladestation Degenkolbe,182830,Juli,rückgemeldet,PreZero,DS 600 LVP (wie gesammelt) PreZero,"12,1600",to,PreZero Ölbronn,,,,Verwertung,Herkunft/Ziel,PF AT 1716
5347065,30.07.2025 00:00:00,11S1020,01,"AWS Abfallwirtschaft Stuttgart
Landeshauptstadt Stuttgart",100557,Umladestation Benningen,182834,Umladestation Benningen,182834,Juli,erledigt,DSD,DS 600 LVP (wie gesammelt) DSD,"13,8100",to,PreZero Ölbronn,,,,Verwertung,Herkunft/Ziel,PF KT 2028
5369132,12.08.2025 00:00:00,11S1020,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Umladestation Benningen,61170,Aug.,offen,Eko-Punkt,DS 600 LVP (wie gesammelt) Eko-Punkt,"0,0000",to,Schwaigern,,,,Verwertung,Herkunft/Ziel,
5369142,13.08.2025 00:00:00,11S1020,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Umladestation Benningen,61170,Aug.,offen,DSD,DS 600 LVP (wie gesammelt) DSD,"0,0000",to,Schwaigern,,,,Verwertung,Herkunft/Ziel,
5369213,19.08.2025 00:00:00,11S1020,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Umladestation Benningen,61170,Aug.,offen,Prezero,DS 600 LVP (wie gesammelt) Prezero,"0,0000",to,PreZero Ölbronn,,,,Verwertung,Herkunft/Ziel,
5361525,31.07.2025 00:00:00,78E6050,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Benningen,2,Juli,in_Bearbeitung,Gruppe 2;5 nach Lustadt Solo für ALBA-Rplus,Gruppe 5 (Kleingeräte und kleine Geräte der Informations- und Telekommunikationstechnik),"0,0000",to,Riwald Electronics Lustadt,,,,Verwertung,Herkunft/Ziel,HAUSHALT 31.07.
5356121,08.08.2025 00:00:00,21P1025,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Benningen,2,Aug.,zugeordnet,Output Benningen - Bereitstellung Sammelware DS 200 PPK AVL zu Noventiz,DS 200 PPK aus Sammelmenge ÖRE Noventiz,"0,0000",to,Noventiz,,,,Verwertung,Herkunft/Ziel,
5356165,05.08.2025 00:00:00,78E6010,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,RH Horrheim,59124,Benningen,2,Aug.,offen,ABR 40 mit Deckel UM,Gruppe 1 (Wärmeüberträger),"0,0000",to,Riwald Electronics Eppinge,,,,Verwertung,Herkunft/Ziel,
5355952,08.08.2025 00:00:00,11S1020,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Umladestation Benningen,61170,Aug.,zugeordnet,Landbell,DS 600 LVP (wie gesammelt) Landbell,"0,0000",to,Schwaigern,,,,Verwertung,Herkunft/Ziel,
5356428,06.08.2025 00:00:00,61G1010,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,Umladestation Benningen,61170,Benningen,2,Aug.,zugeordnet,DS 100 Mischglas Hohlglas BellandVision,DS 100 Mischglas Hohlglas BellandVision,"0,0000",to,Wiegand,,,,Verwertung,Herkunft/Ziel,
5347822,30.07.2025 00:00:00,61G1010,01,"Abfallverwertungsgesellschaft
des Landkreises Ludwigsburg mbH",103614,"Umladestation GWV, Remseck",172785,"Umladestation GWV, Remseck",172785,Juli,zugeordnet,DS 100 Mischglas Hohlglas BellandVision,DS 100 Mischglas Hohlglas BellandVision,"0,0000",to,Wiegand,,,,Verwertung,Herkunft/Ziel,
5369318,01.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Stuttgart,Restmüll,"0,0000",to,MVA Stuttgart,,,,Beseitigung,Herkunft/Ziel,Thum
5369240,05.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,Engel
5369302,07.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,Hotz
5369349,08.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,Thum
5369462,08.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,Rhenus
5369343,06.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Landkreis Heilbronn zu MVA Offenbach,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MVA Offenbach,,,,Beseitigung,Herkunft/Ziel,Hotz
5369413,07.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,offen,Output Heilbronn - Landkreis Heilbronn zu MVA Mannheim,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MVA Mannheim,,,,,,
5369407,04.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,offen,Output Heilbronn - Landkreis Heilbronn zu MVA Mannheim,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MVA Mannheim,,,,,,
5369482,04.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,offen,Output Heilbronn - Landkreis Heilbronn zu MVA Mannheim,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MVA Mannheim,,,,,,
5369656,07.08.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Landkreis Heilbronn zu MVA Mannheim,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Reichert
5347014,30.07.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"23,4000",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,MA ST 3828
5347016,31.07.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"23,8200",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,WI QY 3226
5347029,30.07.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - Landkreis Heilbronn zu MHKW Pirmasens,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"22,8100",to,MHKW Pirmasens,TPLUS,8454,,Beseitigung,Herkunft/Ziel,OG VT 1000
5349323,31.07.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - Landkreis Heilbronn zu MVA Mannheim,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"22,9700",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,S VT 800
5347593,30.07.2025 00:00:00,18S1010,02,TPLUS GmbH,103625,TPLUS,59194,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - Landkreis Heilbronn zu MVA Offenbach,Hausmüll (Restmüll kommunal) Landkreis Heilbronn,"23,1800",to,MVA Offenbach,,,Zollikofer,Beseitigung,Herkunft/Ziel,RV ZO 134
5344596,01.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,THUM
5346936,31.07.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Juli,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Reichert
5369526,08.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Reichert
5369521,06.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Reichert
5369519,05.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Reichert
5369550,04.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Thum
5369555,06.08.2025 00:00:00,18S1010,01,TPLUS GmbH,103625,TPLUS,59194,Benningen,2,Aug.,zugeordnet,Output Benningen - Restmüll MVA Mannheim,Restmüll,"0,0000",to,MVA Mannheim,,,,Beseitigung,Herkunft/Ziel,Thum
5347614,30.07.2025 00:00:00,10S1030,02,"Veolia Umweltservice 
Süd GmbH & Co. KG
Betrieb Bretzfeld",103626,Veolia,59196,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - gem. Siedlungsabfälle LK HN / Deponie Stetten zur MVA Rothensee,gemischte Siedlungsabfälle zur Verwertung,"23,8300",to,MVA Rothensee,Veolia,,,Verwertung,Herkunft/Ziel,Z P 2174
5356177,08.08.2025 00:00:00,10S1035,12,"GWV Gesellschaft für
Wertstoffverwertung mbH",103633,GWV,59219,Walldorf,1631,Aug.,zugeordnet,Output FRASSUR - gemischte Bau- und Abbruchabfälle zur GWV Remseck,gemischte Bau- und Abbruchabfälle,"0,0000",to,GWV,GWV,8121,,Verwertung,Herkunft/Ziel,
5347645,01.08.2025 00:00:00,18S1020,02,INAST Abfallbeseitigungs GmbH,103641,INAST,59236,Heilbronn Austraße,358,Aug.,erledigt,Output Heilbronn - Sperrmüll zum BKO Buchen,Sperrmüll kommunal,"23,9400",to,BKO Buchen,INAST,8162,KURZ Recycling,Verwertung,Herkunft/Ziel,HN KR 9661
5347311,31.07.2025 00:00:00,30H3040,02,INAST Abfallbeseitigungs GmbH,103641,INAST,59236,Öhringen,295,Juli,erledigt,Output Öhringen - Holz AII-AIII zum BKO Buchen,Holz AII - AIII Vorbruch,"13,4000",to,BKO Buchen,INAST,8162,,Verwertung,Herkunft/Ziel,PF PT 975
5369260,04.08.2025 00:00:00,18S1020,02,INAST Abfallbeseitigungs GmbH,103641,INAST,59236,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Sperrmüll zum BKO Buchen,Sperrmüll kommunal,"0,0000",to,BKO Buchen,INAST,8162,,Verwertung,Herkunft/Ziel,
5356690,04.08.2025 00:00:00,20P1031,01,Nordwestdeutsche Papierrohstoff GmbH & Co. KG,103661,Nordwestdeutsche,59281,Benningen,2,Aug.,zugeordnet,Output Benningen - Kartonage B19 Marktmenge zu NWD,Kartonagen B19 (1.04.00 Ausgang),"0,0000",to,Nordwestdeutsche,Nordwestdeutsche,9463,,Verwertung,Herkunft/Ziel,
5356714,08.08.2025 00:00:00,20P1061,02,Nordwestdeutsche Papierrohstoff GmbH & Co. KG,103661,Nordwestdeutsche,59281,Öhringen,295,Aug.,zugeordnet,Output Öhringen - Natron II W52 Vertragsmenge zu NWD,Natron Welle 2 W52 (4.03.00 Ausgang),"0,0000",to,Nordwestdeutsche,Nordwestdeutsche,9463,,Verwertung,Herkunft/Ziel,
5349807,31.07.2025 00:00:00,18S1035,02,BEM Umweltservice GmbH,103669,KWB,212214,Heilbronn Austraße,358,Juli,erledigt,Output - Biomüll kommunal Stadt HN abgeholt,Biomüll kommunal,"18,2300",to,KWB Hardheim,,,,Verwertung,Herkunft/Ziel,HN XF 1563
5347384,31.07.2025 00:00:00,30H1070,02,Rheinspan GmbH & Co. KG,103684,Rheinspan,59334,Schwaigern,4,Juli,erledigt,Output Schwaigern - Hackschnitzel QUALITÄT 1 zu Rheinspan,Holz AI Hackschnitzel Qualität 1,"17,1400",to,Rheinspan,Rheinspan,,Zollikofer,Verwertung,Herkunft/Ziel,RV ZO 134
5333990,31.07.2025 00:00:00,11S1051,02,ReCarton GmbH,103699,ReCarton,59367,Schwaigern,4,Juli,zugeordnet,Output Schwaigern - DS 512 Flüssigkartons ReCarton,DS 512 Flüssigkartons / Getränkekartons,"0,0000",to,ReCarton,ReCarton,,,Verwertung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S0702,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,Tenside (aus Öhringen),Tenside,"0,0000",to,HIM Stuttgart,,,,Beseitigung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S0702,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,Tenside (aus Öhringen),Tenside,"0,0000",to,HIM Stuttgart,,,,Beseitigung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S0702,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,Tenside (Münzing aus Öhringen),Tenside (Münzing ID-Nr. 35930),"0,0000",to,HIM Stuttgart,,,,Beseitigung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S0702,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,Tenside (Münzing aus Öhringen),Tenside (Münzing ID-Nr. 35930),"0,0000",to,HIM Stuttgart,,,,Beseitigung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S1606,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,organische Chemikalien,organische Chemikalien,"0,0000",to,HIM Stuttgart,,,,Beseitigung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S0703,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,sonstige Konzentrate,sonstige Konzentrate,"0,0000",to,HIM Stuttgart,,,,Beseitigung,Herkunft/Ziel,
5356465,06.08.2025 00:00:00,80S0803,01,HIM GmbH,103728,HIM,59430,Somüö,327,Aug.,offen,Klebstoff- und Dichtmassenabfälle (aus Öhringen),Klebstoff- und Dichtmassenabfälle,"0,0000",to,HIM Stuttgart,HIM Biebesheim,8145,,Verwertung,Herkunft/Ziel,
5352960,30.07.2025 00:00:00,80S0702,01,HIM GmbH,103728,HIM,59430,Somüö,327,Juli,rückgemeldet,Tenside (Münzing aus Öhringen),Tenside (Münzing ID-Nr. 35930),"10,3400",to,HIM Stuttgart,,,KURZ Entsorgung,Beseitigung,Herkunft/Ziel,LB KE 9603
5352960,30.07.2025 00:00:00,80S0805,01,HIM GmbH,103728,HIM,59430,Somüö,327,Juli,rückgemeldet,"wässrige Schlämme, die Farben oder Lacke enthalten","wässrige Schlämme, die Farben oder Lacke enthalten","1,7100",to,HIM Stuttgart,HIM Biebesheim,8145,KURZ Entsorgung,sonstige Stoffleistung,Herkunft/Ziel,LB KE 9603
5352960,30.07.2025 00:00:00,80S0703,01,HIM GmbH,103728,HIM,59430,Somüö,327,Juli,rückgemeldet,sonstige Konzentrate,sonstige Konzentrate,"6,6910",to,HIM Stuttgart,,,KURZ Entsorgung,Beseitigung,Herkunft/Ziel,LB KE 9603
5356090,04.08.2025 00:00:00,20P1030,01,Waste Paper Trade,103883,Waste,59721,Kirchberg,923,Aug.,zugeordnet,Output Kirchberg - Kartonage B19 Vertragsmenge zu Waste Paper Trade,Kartonage B19,"0,0000",to,Waste,Waste mit MWST,8737,,Verwertung,Herkunft/Ziel,
5369039,07.08.2025 00:00:00,10S1030,02,Dettendorfer Wertstoff GmbH & Co. KG,104468,Dettendorfer,61719,Öhringen,295,Aug.,zugeordnet,Output Öhringen - gem. Siedlungsabfälle zur Verwertung zu MVA Würzburg,gemischte Siedlungsabfälle zur Verwertung,"0,0000",to,MVA Würzburg,Dettendorfer,8513,,Verwertung,Herkunft/Ziel,
5339900,31.07.2025 00:00:00,57B1040,02,RETERRA Erden Süd GmbH,106430,RETERRA,70265,Schwaigern,4,Juli,zugeordnet,Output Schwaigern - Grünschnitt (Gras und Laub) zu RETERRA Öhringen,Grünschnitt (Gras und Laub),"0,0000",to,RETERRA Öhringen,RETERRA Hauke,8134,,Verwertung,Herkunft/Ziel,
5350438,30.07.2025 00:00:00,57B1040,02,RETERRA Erden Süd GmbH,106430,RETERRA,70265,Heilbronn Austraße,358,Juli,rückgemeldet,Output Heilbronn - Grünschnitt (Gras und Laub) zu RETERRA Öhringen,Grünschnitt (Gras und Laub),"22,1000",to,RETERRA Öhringen,RETERRA Hauke,8134,KURZ Entsorgung,Verwertung,Herkunft/Ziel,LB KE 9664
5341697,01.08.2025 00:00:00,18S1010,02,Abfallwirtschaft Hohenlohekreis,107743,Hohenlohekreis,67232,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Hohenlohekreis Kontingent EEW,Hausmüll (Restmüll kommunal) Landkreis Hohenlohe,"0,0000",to,MVA Göppingen,,,,Beseitigung,Herkunft/Ziel,
5355783,07.08.2025 00:00:00,18S1010,02,Abfallwirtschaft Hohenlohekreis,107743,Hohenlohekreis,67232,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Hohenlohekreis Kontingent EEW,Hausmüll (Restmüll kommunal) Landkreis Hohenlohe,"0,0000",to,MVA Göppingen,,,,Beseitigung,Herkunft/Ziel,
5369374,05.08.2025 00:00:00,70M1160,01,ProMetall GmbH,107705,ProMetall GmbH,157125,Benningen,2,Aug.,offen,Brennschrott,Brennschrott,"0,0000",to,ProMetall,,,,Verwertung,Herkunft/Ziel,
5369379,06.08.2025 00:00:00,70M1160,01,ProMetall GmbH,107705,ProMetall GmbH,157125,Benningen,2,Aug.,offen,Brennschrott,Brennschrott,"0,0000",to,ProMetall,,,,Verwertung,Herkunft/Ziel,
5341277,30.07.2025 00:00:00,11S1020,01,"Landratsamt Schwäbisch Hall
-Amt für Abfallwirtschaft-
",109427,Umladestation Kirchberg,172742,Kirchberg,923,Juli,zugeordnet,Noventiz,DS 600 LVP (wie gesammelt) Noventiz,"0,0000",to,Meilo,,,,Verwertung,Herkunft/Ziel,
5352780,06.08.2025 00:00:00,11S1020,01,"Landratsamt Schwäbisch Hall
-Amt für Abfallwirtschaft-
",109427,Umladestation Kirchberg,172742,Kirchberg,923,Aug.,zugeordnet,PreZero,DS 600 LVP (wie gesammelt) PreZero,"0,0000",to,PreZero Ölbronn,,,,Verwertung,Herkunft/Ziel,
5330110,19.08.2025 00:00:00,78M1010,02,TSR Recycling GmbH & Co. KG,110565,TSR,71936,Öhringen,295,Aug.,zugeordnet,Sammelschrott Öhr,Sammelschrott,"0,0000",to,TSR Mannheim,TSR Mannheim,,,Verwertung,Herkunft/Ziel,
5330110,19.08.2025 00:00:00,78M1010,02,TSR Recycling GmbH & Co. KG,110565,TSR,71936,Öhringen,295,Aug.,zugeordnet,Sammelschrott Öhr,Sammelschrott,"0,0000",to,TSR Mannheim,TSR Mannheim,,,Verwertung,Herkunft/Ziel,
5330108,05.08.2025 00:00:00,78M1010,02,TSR Recycling GmbH & Co. KG,110565,TSR,71936,Öhringen,295,Aug.,zugeordnet,Sammelschrott Öhr,Sammelschrott,"0,0000",to,TSR Mannheim,TSR Mannheim,,,Verwertung,Herkunft/Ziel,
5330108,05.08.2025 00:00:00,78M1010,02,TSR Recycling GmbH & Co. KG,110565,TSR,71936,Öhringen,295,Aug.,zugeordnet,Sammelschrott Öhr,Sammelschrott,"0,0000",to,TSR Mannheim,TSR Mannheim,,,Verwertung,Herkunft/Ziel,
5356376,04.08.2025 00:00:00,20P1030,01,DS Smith Recycling Deutschland GmbH,111195,DS Smith Recycling,72996,Benningen,2,Aug.,offen,Output Benningen - Kartonage B19 ALDI Vertrag 2021 zu DS Smith,Kartonage B19,"0,0000",to,DS Smith Recycling,DS Smith Recycling Raubling,,,,,
5356724,07.08.2025 00:00:00,51B1021,02,"Paul Kleinknecht GmbH & Co. KG
Schotter- und Splittwerke",111334,Kleinknecht,73219,Heilbronn Austraße,358,Aug.,zugeordnet,Output Heilbronn - Bauschutt zu Kleinknecht,Bauschutt,"0,0000",to,Kleinknecht,"Kleinknecht, Paul",9113,,Verwertung,Herkunft/Ziel,
5346897,30.07.2025 00:00:00,51B1021,02,"Paul Kleinknecht GmbH & Co. KG
Schotter- und Splittwerke",111334,Kleinknecht,73219,Heilbronn Austraße,358,Juli,erledigt,Output Heilbronn - Bauschutt zu Kleinknecht,Bauschutt,"25,6400",to,Kleinknecht,"Kleinknecht, Paul",9113,"Kleinknecht, Paul",Verwertung,Herkunft/Ziel,KÜN ST 204
5346906,01.08.2025 00:00:00,51B1021,02,"Paul Kleinknecht GmbH & Co. KG
Schotter- und Splittwerke",111334,Kleinknecht,73219,Schwaigern,4,Aug.,zugeordnet,Output Schwaigern - Bauschutt zu Kleinknecht,Bauschutt,"0,0000",to,Kleinknecht,"Kleinknecht, Paul",9113,,Verwertung,Herkunft/Ziel,
